,Decision Tree,Random Forest,XGBoost,Voting Ensemble
Botnet,0.8004246284501062,0.7672064777327935,0.7845528455284553,0.8025078369905956
Brute Force,0.9983624454148472,0.9991796554552912,0.9997267012845039,0.9994532531437944
DDoS,0.9997266052179347,0.9998242084497139,0.9999023494717106,0.9999218811030388
Normal,0.9996138499163342,0.9995709347786539,0.9996155509635254,0.9996550439947621
Port Scan,0.9996421591565967,0.9998072740287988,0.9998072846405859,0.9998072846405859
Web Attack,0.9815242494226328,0.9848661233993015,0.9918887601390498,0.9918509895227008
