Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
Decision Tree,0.9993162484238194,0.9422067763981317,0.9921788269692198,0.9632156562630754,0.9994664455257898,0.9993162484238194,0.9993636370611657
Random Forest,0.9992422493354882,0.9364092264558352,0.9920326209822551,0.9584091123074255,0.999464894975893,0.9992422493354882,0.9993131175859761
XGBoost,0.9993251283144192,0.9394939720383055,0.9971873736511361,0.9625822486713052,0.9995340204621672,0.9993251283144192,0.999389482702959
Voting Ensemble,0.9993932074756839,0.9448317344198637,0.9954887342934055,0.9655327148992462,0.9995597684310771,0.9993932074756839,0.9994442808421925
